"Time","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","p_rgh"
0,0.025391,0.029999,0,0.5,0,0.8,0,0.36
0,0.038087,0.029999,0,0.5,0,0.8,0,0.36
0,0.050783,0.029999,0,0.5,0,0.8,0,0.36
0,0.063478,0.029999,0,0.5,0,0.8,0,0.36
0,0.076174,0.029999,0,0.5,0,0.8,0,0.36
0,0.08887,0.029999,0,0.5,0,0.8,0,0.36
0,0.10157,0.029999,0,0.5,0,0.8,0,0.36
0,0.11426,0.029999,0,0.5,0,0.8,0,0.36
0,0.12696,0.029999,0,0.5,0,0.8,0,0.36
0,0.13965,0.029999,0,0.5,0,0.8,0,0.36
0,0.15235,0.029999,0,0.5,0,0.8,0,0.36
0,0.16504,0.029999,0,0.5,0,0.8,0,0.36
0,0.17774,0.029999,0,0.5,0,0.8,0,0.36
0,0.19043,0.029999,0,0.5,0,0.8,0,0.36
0,0.20313,0.029999,0,0.5,0,0.8,0,0.36
0,0.21583,0.029999,0,0.5,0,0.8,0,0.36
0,0.22852,0.029999,0,0.5,0,0.8,0,0.36
0,0.24122,0.029999,0,0.5,0,0.8,0,0.36
0,0.25391,0.029999,0,0.5,0,0.8,0,0.36
0,0.26661,0.029999,0,0.5,0,0.8,0,0.36
0,0.2793,0.029999,0,0.5,0,0.8,0,0.36
0,0.292,0.029999,0,0.5,0,0.8,0,0.36
0,0,0.035999,0,0.5,0,0.8,0,0.36
0,0.012696,0.035999,0,0.5,0,0.8,0,0.36
0,0.025391,0.035999,0,0.5,0,0.8,0,0.36
0,0.038087,0.035999,0,0.5,0,0.8,0,0.36
0,0.050783,0.035999,0,0.5,0,0.8,0,0.36
0,0.063478,0.035999,0,0.5,0,0.8,0,0.36
0,0.076174,0.035999,0,0.5,0,0.8,0,0.36
0,0.08887,0.035999,0,0.5,0,0.8,0,0.36
0,0.10157,0.035999,0,0.5,0,0.8,0,0.36
0,0.11426,0.035999,0,0.5,0,0.8,0,0.36
0,0.12696,0.035999,0,0.5,0,0.8,0,0.36
0,0.13965,0.035999,0,0.5,0,0.8,0,0.36
0,0.15235,0.035999,0,0.5,0,0.8,0,0.36
0,0.16504,0.035999,0,0.5,0,0.8,0,0.36
0,0.17774,0.035999,0,0.5,0,0.8,0,0.36
0,0.19043,0.035999,0,0.5,0,0.8,0,0.36
0,0.20313,0.035999,0,0.5,0,0.8,0,0.36
0,0.21583,0.035999,0,0.5,0,0.8,0,0.36
0,0.22852,0.035999,0,0.5,0,0.8,0,0.36
0,0.24122,0.035999,0,0.5,0,0.8,0,0.36
0,0.25391,0.035999,0,0.5,0,0.8,0,0.36
0,0.26661,0.035999,0,0.5,0,0.8,0,0.36
0,0.2793,0.035999,0,0.5,0,0.8,0,0.36
0,0.292,0.035999,0,0.5,0,0.8,0,0.36
0,0,0.041999,0,0.5,0,0.8,0,0.36
0,0.012696,0.041999,0,0.5,0,0.8,0,0.36
0,0.025391,0.041999,0,0.5,0,0.8,0,0.36
