"t","x","y"
1.5992,0.0,0.5329523
1.5992,0.0,0.5457142
1.5992,0.0,0.55847615
1.5992,0.0,0.57123804
1.5992,0.0,0.584
1.7003,0.0,0.0
1.7003,0.0,0.00599987
1.7003,0.0,0.01199974
1.7003,0.0,0.01799961
1.7003,0.0,0.02399948
1.7003,0.0,0.02999935
1.7003,0.0,0.03599922
1.7003,0.0,0.04199909
1.7003,0.0,0.04799896
1.7003,0.0,0.06076089
1.7003,0.0,0.07352282
1.7003,0.0,0.08628475
1.7003,0.0,0.09904668
1.7003,0.0,0.111808605
1.7003,0.0,0.12457053
1.7003,0.0,0.13733247
1.7003,0.0,0.15009439
1.7003,0.0,0.16285633
1.7003,0.0,0.17561826
1.7003,0.0,0.18838018
1.7003,0.0,0.20114212
1.7003,0.0,0.21390404
1.7003,0.0,0.22666597
1.7003,0.0,0.23942791
1.7003,0.0,0.25218984
1.7003,0.0,0.26495177
1.7003,0.0,0.2777137
1.7003,0.0,0.2904756
1.7003,0.0,0.30323756
1.7003,0.0,0.31599948
1.7003,0.0,0.3287614
1.7003,0.0,0.34152335
1.7003,0.0,0.35428527
1.7003,0.0,0.3670472
1.7003,0.0,0.37980914
1.7003,0.0,0.39257106
1.7003,0.0,0.40533298
1.7003,0.0,0.4180949
1.7003,0.0,0.43085685
1.7003,0.0,0.44361877
1.7003,0.0,0.4563807
1.7003,0.0,0.46914265
1.7003,0.0,0.48190457
1.7003,0.0,0.4946665
1.7003,0.0,0.5074284
1.7003,0.0,0.52019036
1.7003,0.0,0.5329523
1.7003,0.0,0.5457142
1.7003,0.0,0.55847615
1.7003,0.0,0.57123804
1.7003,0.0,0.584
1.8001,0.0,0.0
1.8001,0.0,0.00599987
1.8001,0.0,0.01199974
1.8001,0.0,0.01799961
1.8001,0.0,0.02399948
1.8001,0.0,0.02999935
1.8001,0.0,0.03599922
1.8001,0.0,0.04199909
1.8001,0.0,0.04799896
1.8001,0.0,0.06076089
1.8001,0.0,0.07352282
1.8001,0.0,0.08628475
1.8001,0.0,0.09904668
1.8001,0.0,0.111808605
1.8001,0.0,0.12457053
1.8001,0.0,0.13733247
1.8001,0.0,0.15009439
1.8001,0.0,0.16285633
1.8001,0.0,0.17561826
1.8001,0.0,0.18838018
1.8001,0.0,0.20114212
1.8001,0.0,0.21390404
1.8001,0.0,0.22666597
1.8001,0.0,0.23942791
1.8001,0.0,0.25218984
1.8001,0.0,0.26495177
1.8001,0.0,0.2777137
1.8001,0.0,0.2904756
1.8001,0.0,0.30323756
1.8001,0.0,0.31599948
1.8001,0.0,0.3287614
1.8001,0.0,0.34152335
1.8001,0.0,0.35428527
1.8001,0.0,0.3670472
1.8001,0.0,0.37980914
1.8001,0.0,0.39257106
1.8001,0.0,0.40533298
1.8001,0.0,0.4180949
1.8001,0.0,0.43085685
1.8001,0.0,0.44361877
1.8001,0.0,0.4563807
1.8001,0.0,0.46914265
1.8001,0.0,0.48190457
1.8001,0.0,0.4946665
1.8001,0.0,0.5074284
1.8001,0.0,0.52019036
1.8001,0.0,0.5329523
1.8001,0.0,0.5457142
1.8001,0.0,0.55847615
1.8001,0.0,0.57123804
1.8001,0.0,0.584
1.8987,0.0,0.0
1.8987,0.0,0.00599987
1.8987,0.0,0.01199974
1.8987,0.0,0.01799961
1.8987,0.0,0.02399948
1.8987,0.0,0.02999935
1.8987,0.0,0.03599922
1.8987,0.0,0.04199909
1.8987,0.0,0.04799896
1.8987,0.0,0.06076089
1.8987,0.0,0.07352282
1.8987,0.0,0.08628475
1.8987,0.0,0.09904668
1.8987,0.0,0.111808605
1.8987,0.0,0.12457053
1.8987,0.0,0.13733247
1.8987,0.0,0.15009439
1.8987,0.0,0.16285633
1.8987,0.0,0.17561826
1.8987,0.0,0.18838018
1.8987,0.0,0.20114212
1.8987,0.0,0.21390404
1.8987,0.0,0.22666597
1.8987,0.0,0.23942791
1.8987,0.0,0.25218984
1.8987,0.0,0.26495177
1.8987,0.0,0.2777137
1.8987,0.0,0.2904756
1.8987,0.0,0.30323756
1.8987,0.0,0.31599948
1.8987,0.0,0.3287614
1.8987,0.0,0.34152335
1.8987,0.0,0.35428527
1.8987,0.0,0.3670472
1.8987,0.0,0.37980914
1.8987,0.0,0.39257106
1.8987,0.0,0.40533298
1.8987,0.0,0.4180949
1.8987,0.0,0.43085685
1.8987,0.0,0.44361877
1.8987,0.0,0.4563807
1.8987,0.0,0.46914265
1.8987,0.0,0.48190457
1.8987,0.0,0.4946665
1.8987,0.0,0.5074284
1.8987,0.0,0.52019036
1.8987,0.0,0.5329523
1.8987,0.0,0.5457142
1.8987,0.0,0.55847615
1.8987,0.0,0.57123804
1.8987,0.0,0.584
2.0001,0.0,0.0
2.0001,0.0,0.00599987
2.0001,0.0,0.01199974
2.0001,0.0,0.01799961
2.0001,0.0,0.02399948
2.0001,0.0,0.02999935
2.0001,0.0,0.03599922
2.0001,0.0,0.04199909
2.0001,0.0,0.04799896
2.0001,0.0,0.06076089
2.0001,0.0,0.07352282
2.0001,0.0,0.08628475
2.0001,0.0,0.09904668
2.0001,0.0,0.111808605
2.0001,0.0,0.12457053
2.0001,0.0,0.13733247
2.0001,0.0,0.15009439
2.0001,0.0,0.16285633
2.0001,0.0,0.17561826
2.0001,0.0,0.18838018
2.0001,0.0,0.20114212
2.0001,0.0,0.21390404
2.0001,0.0,0.22666597
2.0001,0.0,0.23942791
2.0001,0.0,0.25218984
2.0001,0.0,0.26495177
2.0001,0.0,0.2777137
2.0001,0.0,0.2904756
2.0001,0.0,0.30323756
2.0001,0.0,0.31599948
2.0001,0.0,0.3287614
2.0001,0.0,0.34152335
2.0001,0.0,0.35428527
2.0001,0.0,0.3670472
2.0001,0.0,0.37980914
2.0001,0.0,0.39257106
2.0001,0.0,0.40533298
2.0001,0.0,0.4180949
2.0001,0.0,0.43085685
2.0001,0.0,0.44361877
2.0001,0.0,0.4563807
2.0001,0.0,0.46914265
2.0001,0.0,0.48190457
2.0001,0.0,0.4946665
2.0001,0.0,0.5074284
2.0001,0.0,0.52019036
2.0001,0.0,0.5329523
2.0001,0.0,0.5457142
2.0001,0.0,0.55847615
2.0001,0.0,0.57123804
2.0001,0.0,0.584
2.1002,0.0,0.0
2.1002,0.0,0.00599987
2.1002,0.0,0.01199974
2.1002,0.0,0.01799961
2.1002,0.0,0.02399948
2.1002,0.0,0.02999935
2.1002,0.0,0.03599922
2.1002,0.0,0.04199909
2.1002,0.0,0.04799896
2.1002,0.0,0.06076089
2.1002,0.0,0.07352282
2.1002,0.0,0.08628475
2.1002,0.0,0.09904668
2.1002,0.0,0.111808605
2.1002,0.0,0.12457053
2.1002,0.0,0.13733247
2.1002,0.0,0.15009439
2.1002,0.0,0.16285633
2.1002,0.0,0.17561826
2.1002,0.0,0.18838018
2.1002,0.0,0.20114212
2.1002,0.0,0.21390404
2.1002,0.0,0.22666597
2.1002,0.0,0.23942791
2.1002,0.0,0.25218984
