"t","x","y"
1.2001,0.29799986,0.584
1.2001,0.30399975,0.584
1.2001,0.30999961,0.584
1.2001,0.31599948,0.584
1.2001,0.33010477,0.584
1.2001,0.34421006,0.584
1.2001,0.35831535,0.584
1.2001,0.37242064,0.584
1.2001,0.38652593,0.584
1.2001,0.40063122,0.584
1.2001,0.4147365,0.584
1.2001,0.4288418,0.584
1.2001,0.4429471,0.584
1.2001,0.45705238,0.584
1.2001,0.47115767,0.584
1.2001,0.48526296,0.584
1.2001,0.49936825,0.584
1.2001,0.5134736,0.584
1.2001,0.52757883,0.584
1.2001,0.54168415,0.584
1.2001,0.5557894,0.584
1.2001,0.56989473,0.584
1.2001,0.584,0.584
1.299,0.0,0.584
1.299,0.012695652,0.584
1.299,0.025391305,0.584
1.299,0.03808696,0.584
1.299,0.05078261,0.584
1.299,0.06347826,0.584
1.299,0.07617392,0.584
1.299,0.088869564,0.584
1.299,0.10156522,0.584
1.299,0.11426087,0.584
1.299,0.12695652,0.584
1.299,0.13965218,0.584
1.299,0.15234783,0.584
1.299,0.16504347,0.584
1.299,0.17773913,0.584
1.299,0.19043478,0.584
1.299,0.20313044,0.584
1.299,0.2158261,0.584
1.299,0.22852173,0.584
1.299,0.24121739,0.584
1.299,0.25391304,0.584
1.299,0.2666087,0.584
1.299,0.27930436,0.584
1.299,0.292,0.584
1.299,0.29799986,0.584
1.299,0.30399975,0.584
1.299,0.30999961,0.584
1.299,0.31599948,0.584
1.299,0.33010477,0.584
1.299,0.34421006,0.584
1.299,0.35831535,0.584
1.299,0.37242064,0.584
1.299,0.38652593,0.584
1.299,0.40063122,0.584
1.299,0.4147365,0.584
1.299,0.4288418,0.584
1.299,0.4429471,0.584
1.299,0.45705238,0.584
1.299,0.47115767,0.584
1.299,0.48526296,0.584
1.299,0.49936825,0.584
1.299,0.5134736,0.584
1.299,0.52757883,0.584
1.299,0.54168415,0.584
1.299,0.5557894,0.584
1.299,0.56989473,0.584
1.299,0.584,0.584
1.3985,0.0,0.584
1.3985,0.012695652,0.584
1.3985,0.025391305,0.584
1.3985,0.03808696,0.584
1.3985,0.05078261,0.584
1.3985,0.06347826,0.584
1.3985,0.07617392,0.584
1.3985,0.088869564,0.584
1.3985,0.10156522,0.584
1.3985,0.11426087,0.584
1.3985,0.12695652,0.584
1.3985,0.13965218,0.584
1.3985,0.15234783,0.584
1.3985,0.16504347,0.584
1.3985,0.17773913,0.584
1.3985,0.19043478,0.584
1.3985,0.20313044,0.584
1.3985,0.2158261,0.584
1.3985,0.22852173,0.584
1.3985,0.24121739,0.584
1.3985,0.25391304,0.584
1.3985,0.2666087,0.584
1.3985,0.27930436,0.584
1.3985,0.292,0.584
1.3985,0.29799986,0.584
1.3985,0.30399975,0.584
1.3985,0.30999961,0.584
1.3985,0.31599948,0.584
1.3985,0.33010477,0.584
1.3985,0.34421006,0.584
1.3985,0.35831535,0.584
1.3985,0.37242064,0.584
1.3985,0.38652593,0.584
1.3985,0.40063122,0.584
1.3985,0.4147365,0.584
1.3985,0.4288418,0.584
1.3985,0.4429471,0.584
1.3985,0.45705238,0.584
1.3985,0.47115767,0.584
1.3985,0.48526296,0.584
1.3985,0.49936825,0.584
1.3985,0.5134736,0.584
1.3985,0.52757883,0.584
1.3985,0.54168415,0.584
1.3985,0.5557894,0.584
1.3985,0.56989473,0.584
1.3985,0.584,0.584
1.5009,0.0,0.584
1.5009,0.012695652,0.584
1.5009,0.025391305,0.584
1.5009,0.03808696,0.584
1.5009,0.05078261,0.584
1.5009,0.06347826,0.584
1.5009,0.07617392,0.584
1.5009,0.088869564,0.584
1.5009,0.10156522,0.584
1.5009,0.11426087,0.584
1.5009,0.12695652,0.584
1.5009,0.13965218,0.584
1.5009,0.15234783,0.584
1.5009,0.16504347,0.584
1.5009,0.17773913,0.584
1.5009,0.19043478,0.584
1.5009,0.20313044,0.584
1.5009,0.2158261,0.584
1.5009,0.22852173,0.584
1.5009,0.24121739,0.584
1.5009,0.25391304,0.584
1.5009,0.2666087,0.584
1.5009,0.27930436,0.584
1.5009,0.292,0.584
1.5009,0.29799986,0.584
1.5009,0.30399975,0.584
1.5009,0.30999961,0.584
1.5009,0.31599948,0.584
1.5009,0.33010477,0.584
1.5009,0.34421006,0.584
1.5009,0.35831535,0.584
1.5009,0.37242064,0.584
1.5009,0.38652593,0.584
1.5009,0.40063122,0.584
1.5009,0.4147365,0.584
1.5009,0.4288418,0.584
1.5009,0.4429471,0.584
1.5009,0.45705238,0.584
1.5009,0.47115767,0.584
1.5009,0.48526296,0.584
1.5009,0.49936825,0.584
1.5009,0.5134736,0.584
1.5009,0.52757883,0.584
1.5009,0.54168415,0.584
1.5009,0.5557894,0.584
1.5009,0.56989473,0.584
1.5009,0.584,0.584
1.5992,0.0,0.584
1.5992,0.012695652,0.584
1.5992,0.025391305,0.584
1.5992,0.03808696,0.584
1.5992,0.05078261,0.584
1.5992,0.06347826,0.584
1.5992,0.07617392,0.584
1.5992,0.088869564,0.584
1.5992,0.10156522,0.584
1.5992,0.11426087,0.584
1.5992,0.12695652,0.584
1.5992,0.13965218,0.584
1.5992,0.15234783,0.584
1.5992,0.16504347,0.584
1.5992,0.17773913,0.584
1.5992,0.19043478,0.584
1.5992,0.20313044,0.584
1.5992,0.2158261,0.584
1.5992,0.22852173,0.584
1.5992,0.24121739,0.584
1.5992,0.25391304,0.584
1.5992,0.2666087,0.584
1.5992,0.27930436,0.584
1.5992,0.292,0.584
1.5992,0.29799986,0.584
1.5992,0.30399975,0.584
1.5992,0.30999961,0.584
1.5992,0.31599948,0.584
1.5992,0.33010477,0.584
1.5992,0.34421006,0.584
1.5992,0.35831535,0.584
1.5992,0.37242064,0.584
1.5992,0.38652593,0.584
1.5992,0.40063122,0.584
1.5992,0.4147365,0.584
1.5992,0.4288418,0.584
1.5992,0.4429471,0.584
1.5992,0.45705238,0.584
1.5992,0.47115767,0.584
1.5992,0.48526296,0.584
1.5992,0.49936825,0.584
1.5992,0.5134736,0.584
1.5992,0.52757883,0.584
1.5992,0.54168415,0.584
1.5992,0.5557894,0.584
1.5992,0.56989473,0.584
1.5992,0.584,0.584
1.7003,0.0,0.584
1.7003,0.012695652,0.584
1.7003,0.025391305,0.584
1.7003,0.03808696,0.584
1.7003,0.05078261,0.584
1.7003,0.06347826,0.584
1.7003,0.07617392,0.584
1.7003,0.088869564,0.584
1.7003,0.10156522,0.584
1.7003,0.11426087,0.584
1.7003,0.12695652,0.584
1.7003,0.13965218,0.584
1.7003,0.15234783,0.584
1.7003,0.16504347,0.584
1.7003,0.17773913,0.584
1.7003,0.19043478,0.584
1.7003,0.20313044,0.584
1.7003,0.2158261,0.584
1.7003,0.22852173,0.584
1.7003,0.24121739,0.584
1.7003,0.25391304,0.584
1.7003,0.2666087,0.584
1.7003,0.27930436,0.584
1.7003,0.292,0.584
1.7003,0.29799986,0.584
1.7003,0.30399975,0.584
1.7003,0.30999961,0.584
1.7003,0.31599948,0.584
1.7003,0.33010477,0.584
1.7003,0.34421006,0.584
1.7003,0.35831535,0.584
1.7003,0.37242064,0.584
1.7003,0.38652593,0.584
1.7003,0.40063122,0.584
1.7003,0.4147365,0.584
1.7003,0.4288418,0.584
1.7003,0.4429471,0.584
1.7003,0.45705238,0.584
1.7003,0.47115767,0.584
1.7003,0.48526296,0.584
1.7003,0.49936825,0.584
1.7003,0.5134736,0.584
1.7003,0.52757883,0.584
1.7003,0.54168415,0.584
1.7003,0.5557894,0.584
1.7003,0.56989473,0.584
1.7003,0.584,0.584
1.8001,0.0,0.584
1.8001,0.012695652,0.584
1.8001,0.025391305,0.584
1.8001,0.03808696,0.584
1.8001,0.05078261,0.584
1.8001,0.06347826,0.584
1.8001,0.07617392,0.584
1.8001,0.088869564,0.584
1.8001,0.10156522,0.584
1.8001,0.11426087,0.584
1.8001,0.12695652,0.584
1.8001,0.13965218,0.584
1.8001,0.15234783,0.584
1.8001,0.16504347,0.584
1.8001,0.17773913,0.584
1.8001,0.19043478,0.584
1.8001,0.20313044,0.584
1.8001,0.2158261,0.584
1.8001,0.22852173,0.584
1.8001,0.24121739,0.584
1.8001,0.25391304,0.584
1.8001,0.2666087,0.584
1.8001,0.27930436,0.584
1.8001,0.292,0.584
1.8001,0.29799986,0.584
1.8001,0.30399975,0.584
1.8001,0.30999961,0.584
1.8001,0.31599948,0.584
1.8001,0.33010477,0.584
1.8001,0.34421006,0.584
1.8001,0.35831535,0.584
1.8001,0.37242064,0.584
1.8001,0.38652593,0.584
1.8001,0.40063122,0.584
1.8001,0.4147365,0.584
1.8001,0.4288418,0.584
1.8001,0.4429471,0.584
1.8001,0.45705238,0.584
1.8001,0.47115767,0.584
1.8001,0.48526296,0.584
1.8001,0.49936825,0.584
1.8001,0.5134736,0.584
1.8001,0.52757883,0.584
1.8001,0.54168415,0.584
1.8001,0.5557894,0.584
1.8001,0.56989473,0.584
1.8001,0.584,0.584
1.8987,0.0,0.584
1.8987,0.012695652,0.584
1.8987,0.025391305,0.584
1.8987,0.03808696,0.584
1.8987,0.05078261,0.584
1.8987,0.06347826,0.584
1.8987,0.07617392,0.584
1.8987,0.088869564,0.584
1.8987,0.10156522,0.584
1.8987,0.11426087,0.584
1.8987,0.12695652,0.584
1.8987,0.13965218,0.584
1.8987,0.15234783,0.584
1.8987,0.16504347,0.584
1.8987,0.17773913,0.584
1.8987,0.19043478,0.584
1.8987,0.20313044,0.584
1.8987,0.2158261,0.584
1.8987,0.22852173,0.584
1.8987,0.24121739,0.584
1.8987,0.25391304,0.584
1.8987,0.2666087,0.584
